price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_lane,valuation_range,valuation_note
8.0,2.0,10.0,2026-03-10,auction,False,457,,,1993 Score Pinnacle Derek Jeter #457 1st Round Draft Pick...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.0,5.07,15.07,2026-03-09,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
12.99,1.32,14.31,2026-03-08,bin,True,457,,,1993 Pinnacle #457 Derek Jeter ROOKIE Card Iconic RC YANKEES,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
6.61,4.99,11.6,2026-03-08,auction,False,457,,,1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 Rooki...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
14.0,1.32,15.32,2026-03-08,bin,True,457,,,1993 Pinnacle Derek Jeter 1st Round Draft Pick #457 New Y...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
4.0,1.25,5.25,2026-03-08,auction,False,457,,,1993 Pinnacle #457 Derek Jeter,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
15.5,5.2,20.7,2026-03-08,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.0,5.0,15.0,2026-03-08,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
700.0,5.52,705.52,2026-03-07,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
3.25,4.99,8.24,2026-03-07,auction,False,457,,,1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 Rooki...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
80.0,7.0,87.0,2026-03-07,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.99,0.0,10.99,2026-03-06,bin,True,457,,,1993 Pinnacle #457 Derek Jeter Rookie E1,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
5.5,1.32,6.82,2026-03-06,auction,False,457,,,Pinnacle 1993 Derek Jeter 1st Round Draft Pick #457 New Y...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
15.0,1.32,16.32,2026-03-05,bin,False,457,,,Derek Jeter 1993 Score Pinnacle ROOKIE #457 Yankees NRMT,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.5,5.75,16.25,2026-03-05,auction,False,457,,,1993 Pinnacle #457 Derek Jeter ROOKIE RC YANKEES,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
5.5,5.99,11.49,2026-03-04,auction,False,457,,,1993 Score Pinnacle #457 Derek Jeter RC Rookie,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
6.5,5.5,12.0,2026-03-04,auction,False,457,,,Derek Jeter 1993 Pinnacle #457 Rookie RC,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
12.0,1.32,13.32,2026-03-04,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.25,4.95,14.2,2026-03-03,auction,False,457,,,1993 Score: #457 Derek Jeter 1st Round DP RC NM-MT OR BETTER,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
13.5,1.25,14.75,2026-03-02,bin,False,457,,,1993 Pinnacle Baseball 1st Round Draft Pick Derek Jeter #...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.5,1.32,11.82,2026-03-01,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.5,1.0,10.5,2026-03-01,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
11.9,1.32,13.22,2026-03-01,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
21.86,1.46,23.32,2025-12-27,bin,True,457,,,1993 Pinnacle #457 Derek Jeter RC,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
8.0,1.32,9.32,2026-03-01,bin,True,457,,,1993 Pinnacle #457 Derek Jeter RC Rookie NM New York Yank...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.99,1.32,11.31,2026-03-01,bin,False,457,,,DEREK JETER Rookie RC - 1993 Pinnacle #457 - 1st Round Dr...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.5,0.0,9.5,2026-03-01,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
7.52,4.99,12.51,2026-02-28,auction,False,457,,,1993 Pinnacle Derek Jeter Rookie RC #457 Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
16.61,0.0,16.61,2026-02-28,auction,False,457,,,1993 Pinnacle # 457 Derek Jeter NM-MT or Better,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.99,0.0,10.99,2026-02-26,bin,True,457,,,1993 Pinnacle #457 Derek Jeter Rookie E1,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.99,1.32,11.31,2026-02-26,bin,False,457,,,1993 Pinnacle #457 Derek Jeter Rookie,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.0,1.5,10.5,2026-02-25,bin,True,457,,,1993 Pinnacle #457 Derek Jeter RC,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
8.5,1.32,9.82,2026-02-25,bin,True,457,,,1993 Score- Pinnacle: 1st Round Draft Pick Derek Jeter Ca...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.9,1.32,11.22,2026-02-25,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
5.95,5.77,11.72,2026-02-25,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.99,1.75,12.74,2026-02-25,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 Roo...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
13.5,1.5,15.0,2026-02-25,auction,False,457,,,1993 Pinnacle #457 Derek Jeter New York Yankees RC HOF MI...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.99,1.0,10.99,2026-02-25,bin,False,457,,,DEREK JETER 1993 PINNACLE 1st ROUND DRAFT PICK ROOKIE CAR...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.99,0.0,9.99,2026-02-24,bin,True,457,,,1993 Pinnacle #457 Derek Jeter New York Yankees RC Rookie...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
1.0,4.88,5.88,2026-02-23,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
11.04,4.99,16.03,2026-02-23,auction,False,457,,,1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 Rooki...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
5.99,1.32,7.31,2026-02-23,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.99,0.0,9.99,2026-02-23,bin,True,457,,,1993 Pinnacle #457 Derek Jeter New York Yankees RC Rookie...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.45,1.32,10.77,2026-02-22,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
6.75,1.32,8.07,2026-02-22,bin,True,457,,,1993 Pinnacle Rookie 1st Round Draft Pick Derek Jeter #45...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.0,1.0,10.0,2026-02-22,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick #457 Derek Jeter Yan...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
20.01,5.07,25.08,2026-02-22,auction,False,457,,,1993 Pinnacle 1st Round Derek Jeter #457,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
11.0,1.32,12.32,2026-02-22,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
5.99,0.0,5.99,2026-02-22,bin,True,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.5,0.0,9.5,2026-02-22,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
12.45,5.85,18.3,2026-02-21,auction,False,457,,8.0,1993 Pinnacle Derek Jeter Rookie RC #457 Yankees Graded A...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.5,1.5,11.0,2026-02-21,bin,False,457,,,1993 Pinnacle #457 Derek Jeter,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.0,1.0,10.0,2026-02-20,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick #457 Derek Jeter Yan...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.99,0.0,9.99,2026-02-19,bin,True,457,,,1993 Pinnacle #457 Derek Jeter New York Yankees RC Rookie...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
8.5,4.99,13.49,2026-02-19,auction,False,457,,,1993 Pinnacle Derek Jeter Rookie RC #457 Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
14.99,1.32,16.31,2026-02-18,bin,True,457,,,Derek Jeter 1993 Pinnacle #457 Rookie New York Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.45,1.32,10.77,2026-02-17,bin,True,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
19.99,5.07,25.06,2026-02-17,bin,False,457,,,1993 Derek Jeter Pinnacle Rookie Card #457 - Very Nice!,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.0,1.0,10.0,2026-02-16,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick #457 Derek Jeter Yan...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
3.99,1.32,5.31,2026-02-16,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
14.99,0.0,14.99,2026-02-16,bin,False,457,,,1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 Rooki...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
0.99,5.2,6.19,2026-02-16,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
8.0,1.12,9.12,2026-02-16,bin,True,457,,,1993 Pinnacle #457 Derek Jeter,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
3.99,1.99,5.98,2026-02-15,bin,False,457,,,1993 Pinnacle #457 - Derek Jeter,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
8.5,4.95,13.45,2026-02-15,auction,False,457,,,1993 Pinnacle: #457 Derek Jeter DP RC NR-MINT,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.95,1.0,10.95,2026-02-15,bin,True,457,,,1993 Pinnacle Derek Jeter Rookie RC #457 - New York Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
4.99,1.25,6.24,2026-02-13,auction,False,457,,,DEREK JETER 1993 PINNACLE 1ST ROUND DRAFT PICK ROOKIE CAR...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.49,4.99,15.48,2026-02-12,auction,False,457,,,1993 Pinnacle Derek Jeter Rookie RC #457 Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.5,4.99,15.49,2026-02-11,auction,False,457,,,1993 Pinnacle Derek Jeter Rookie RC #457 Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
8.42,1.32,9.74,2026-02-09,bin,True,457,,,1993 Pinnacle Derek Jeter Rookie Card #457 1st Round Draf...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
4.99,1.32,6.31,2026-02-08,bin,True,457,,,1993 Pinnacle #457 - Derek Jeter,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
4.25,4.95,9.2,2026-02-08,auction,False,457,,,Beautiful 1993 Pinnacle Derek Jeter RC 1st Round Draft Pi...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
25.0,0.0,25.0,2026-02-08,bin,False,457,,,1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
3.25,3.99,7.24,2026-02-07,auction,False,457,,,1993 Pinnacle #457 Derek Jeter RC Rookie YANKEES,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.96,1.32,11.28,2026-02-07,bin,False,457,,,Pinnacle 1993 1st Round Draft Pick Derek Jeter #457 Yanke...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
11.51,4.95,16.46,2026-02-06,auction,False,457,,,1993 Pinnacle: #457 Derek Jeter DP RC NM-MT OR BETTER,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
34.99,7.95,42.94,2026-02-05,bin,True,457,,,1993 Derek Jeter Pinnacle 457 Rookie Card,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
29.99,5.89,35.88,2026-02-05,bin,True,457,,,1993 PINNACLE #457 DEREK JETER ROOKIE RC CLEAN Card,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
5.0,1.32,6.32,2026-02-05,bin,False,457,,,1993 Pinnacle #457 - Derek Jeter RC Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.5,5.75,15.25,2026-02-04,auction,False,457,,,1993 Pinnacle #457 Derek Jeter RC Rookie YANKEES,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
17.5,1.35,18.85,2026-02-04,bin,False,457,,,1993 PINNACLE DEREK JETER #457 NY YANKEES NM-MT RC ROOKIE,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
610.0,5.29,615.29,2026-02-04,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
4.25,1.32,5.57,2026-02-03,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.0,1.32,10.32,2026-02-01,bin,True,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
4.99,1.32,6.31,2026-02-01,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
6.99,1.32,8.31,2026-02-01,bin,False,457,,,1993 Pinnacle Baseball #457 Derek Jeter Rookie RC,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
19.99,2.95,22.94,2026-01-31,bin,False,457,,,1993 Pinnacle #457 Derek Jeter RC,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
25.49,0.0,25.49,2026-01-31,bin,False,457,,,DEREK JETER 1993 Pinnacle #457 Rookie RC,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
14.84,0.74,15.58,2026-01-31,bin,False,457,,,1993 Pinnacle #457 Derek Jeter New York Yankees Rookie Rc...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
12.99,5.0,17.99,2026-01-31,bin,False,457,,,1993 Derek Jeter Pinnacle #457 1st Round Draft Pick,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
14.99,1.32,16.31,2026-01-31,bin,True,457,,,Derek Jeter 1993 Pinnacle #457 Rookie New York Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
4.01,12.13,16.14,2026-01-31,auction,False,457,,,1993 Pinnacle Derek Jeter First Round Draft Pick #457,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.99,1.5,11.49,2026-01-30,bin,False,457,,,1993 Pinnacle #457 Derek Jeter ROOKIE Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
24.74,0.0,24.74,2026-01-29,bin,True,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
8.94,5.0,13.94,2026-01-29,auction,False,457,,,1993 Pinnacle Baseball #457 Derek Jeter Rookie RC,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
8.19,1.32,9.51,2026-01-28,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
14.06,4.99,19.05,2026-01-28,auction,False,457,,,1993 Pinnacle Derek Jeter Rookie RC #457 Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
19.99,1.32,21.31,2026-01-28,bin,True,457,,,1993 Pinnacle Derek Jeter 1st Round Draft Pick #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
12.99,0.0,12.99,2026-01-27,bin,True,457,,,1993 Pinnacle Derek Jeter RC #457 Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.5,1.95,12.45,2026-01-27,auction,False,457,,,1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 (RC) ...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.75,1.32,11.07,2026-01-27,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
