price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_lane,valuation_range,valuation_note
2.07,0.0,2.07,2026-03-13,bin,False,,,,1991 Stadium Club - Charter Member - Nolan Ryan - “7th No...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
2.0,1.32,3.32,2026-03-13,bin,False,B40A,,,B40a Nolan Ryan 300th Win 1991 Stadium club charter member,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
8.99,4.0,12.99,2026-03-13,bin,False,,,,1991 Topps Stadium Club Nolan Ryan Charter Member Texas R...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
5.0,7.95,12.95,2026-03-09,bin,True,,,,Nolan Ryan Commemorative Bronze Medallion 1991 Topps Stad...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
5.5,6.87,12.37,2026-03-09,auction,False,,,,1991 Topps Stadium Club Charter Members Only Nolan Ryan B...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
3.5,4.95,8.45,2026-03-08,auction,False,,,,"1991 Stadium Club ""Charter Member"" NOLAN RYAN 🔥 MINT HOF ...",eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
3.2,4.95,8.15,2026-03-08,auction,False,,,,"1991 Stadium Club ""Charter Member"" NOLAN RYAN 🔥 MINT Texa...",eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
4.0,10.0,14.0,2026-03-06,auction,False,80,,,1991 Topps Stadium Club Charter Member Nolan Ryan Medalli...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
10.99,2.99,13.98,2026-03-06,bin,False,,,,1991 TOPPS STADIUM CLUB CHARTER MEMBER SET WITH NOLAN RYA...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
11.99,0.0,11.99,2026-03-03,bin,False,,,,1991 Topps Stadium Club Bronze Nolan Ryan Charter Member ...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.38,4.99,6.37,2026-02-28,bin,False,,,,1991 Stadium Club Charter Member Nolan Ryan (No-Hitter) H...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
4.99,4.95,9.94,2026-02-27,bin,False,,,,1991 Topps Stadium Club Nolan Ryan Charter Member Bronze ...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
5.5,5.45,10.95,2026-02-26,bin,False,,,,1991 Topps Stadium Club Nolan Ryan Charter Member Bronze ...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.99,0.0,1.99,2026-02-24,bin,False,,,,Nolan Ryan 1991 Stadium Club Charter Members Only “7th No...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
10.99,1.99,12.98,2026-02-24,bin,False,,,,1991 Stadium Club Charter Member Commemorative Bronze Med...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
3.0,5.75,8.75,2026-02-22,bin,True,,,,Nolan Ryan 1991 Stadium Club Charter Member Commemorative...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
4.0,5.52,9.52,2026-02-22,auction,False,,,,1991 Topps Stadium Club Nolan Ryan Gold Medallion Charter...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
113.5,5.5,119.0,2026-02-17,auction,False,,,,Nolan Ryan HOF Rangers Signed 1991 Stadium Club Charter M...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
5.24,6.45,11.69,2026-02-16,bin,False,,,,1991 Stadium Club Charter Member Nolan Ryan Commemorative...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
0.99,1.49,2.48,2026-02-16,auction,False,553,,,1991 Topps Stadium Club Charter Member #553 Baseball Nola...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
10.0,0.0,10.0,2026-02-16,bin,False,,,,Nolan Ryan HOF 1991 Stadium Club Charter Member #NNO Texa...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
9.99,0.0,9.99,2026-02-16,bin,False,,,,1991 Stadium Club Charter Member Commemorative Nolan Ryan...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
10.0,0.0,10.0,2026-02-16,bin,False,,,,1991 Topps Stadium Club Nolan Ryan Charter Member Bronze ...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
6.99,5.95,12.94,2026-02-14,bin,True,,,,Nolan Ryan 1991 Topps Stadium Club Charter Member Commemo...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
2.99,1.49,4.48,2026-02-13,bin,False,,,,Nolan Ryan 1991 Stadium Club Members Charter Card,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
9.99,6.09,16.08,2026-02-09,bin,True,,,5.0,"Topps Stadium Club Charter Member 5 Boxes – Nolan Ryan, B...",eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.0,0.0,1.0,2026-01-28,bin,False,,,2.0,Nolan Ryan Baseball Cards- You Pick- TOPPS! SCORE! HOF! R...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
2.99,0.0,2.99,2026-02-08,bin,False,,,,1991 Topps Stadium Club Charter Member Nolan Ryan Ryan Ex...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
2.12,0.0,2.12,2026-02-06,bin,False,,,,1991 Stadium Club Charter Member - Nolan Ryan - “No-Hitte...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
2.05,0.0,2.05,2026-02-06,bin,False,24,,,1991 Stadium Club Charter Member #24 Nolan Ryan/A No-Hitt...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.95,4.95,6.9,2026-02-04,bin,True,,,,1991 Topps Stadium Club Nolan Ryan Gold Medallion Charter...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
9.99,4.99,14.98,2026-02-03,auction,False,,,2.0,1991 TOPPS STADIUM CLUB BASEBALL NOLAN RYAN CHARTER MEMBE...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
3.25,0.0,3.25,2026-02-01,auction,False,,,,1991 Topps Stadium NOLAN RYAN Charter Member Card Texas R...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
11.21,0.0,11.21,2026-01-31,bin,False,,,,1991 Topps Stadium Club Bronze Nolan Ryan Charter Member ...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
3.5,0.97,4.47,2026-01-30,bin,True,,,,1991 Topps Stadium Club Charter Member Nolan Ryan Basebal...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.99,0.0,1.99,2026-01-29,bin,False,,,,"MLB 1991 Stadium Club Charter Member NOLAN RYAN #NNO ""300...",eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.95,0.0,1.95,2026-01-21,bin,False,,,,Nolan Ryan-1991 Topps Stadium Club Charter Member Texas R...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
2.95,0.0,2.95,2026-01-21,bin,False,,,,Nolan Ryan-1991 Topps Stadium Club Charter Member 300th C...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
3.99,4.99,8.98,2026-01-17,bin,False,,,,1991 Stadium Club Charter Member #NNO Nolan Ryan Bronze M...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
4.0,8.1,12.1,2026-01-17,bin,False,,,,NOLAN RYAN Gold MEDALLION Metal Charter Member 1991 Topps...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.75,0.75,2.5,2026-01-13,bin,False,,,,Nolan Ryan Baseball Cards- You Pick- Discount shipping,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
8.99,11.14,20.13,2026-01-08,bin,False,,,,1991 Topps Stadium Clun Charter Members Only Nolan Ryan B...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
3.0,0.0,3.0,2026-01-06,bin,False,,,,1991 Stadium Club Charter Member #NNO Nolan Ryan MULTISPO...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.89,0.0,1.89,2026-01-06,bin,False,,,,1991 Stadium Club Charter Member Nolan Ryan #NNO,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
2.07,0.0,2.07,2026-01-06,bin,False,,,,1991 Stadium Club - Charter Member - Nolan Ryan - “7th No...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
2.25,0.0,2.25,2026-01-04,bin,False,,,,1991 Stadium Club Charter Member #NNO Nolan Ryan,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.99,0.0,1.99,2026-01-01,bin,False,,,,1991 STADIUM CLUB CHARTER MEMBER #NNO NOLAN RYAN TEXAS RA...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
20.0,8.35,28.35,2025-12-31,bin,False,,,,1991 TOPPS STADIUM CLUB CHARTER MEMBER ONLY NOLAN RYAN BR...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
7.0,8.65,15.65,2025-12-30,bin,True,,,,1991 Topps Stadium Club Set Cards Nolan Ryan Medalion Key...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
330.0,15.0,345.0,2026-03-16,auction,False,88,PSA,1.0,Nolan Ryan PSA Auto Authentic 2022 Topps Archives Signatu...,eBay PSA 1,$345-$173-$173,eBay PSA 1 | Model B - Star / High Liquidity | 1 comp
1.25,8.75,10.0,2026-01-25,auction,False,,PSA,6.0,1991 Stadium Club Nolan Ryan Charter Member No Hitter PSA 6,eBay PSA 6,$10-$5-$5,eBay PSA 6 | Model B - Star / High Liquidity | 1 comp
5.5,5.99,11.49,2026-02-01,auction,False,,PSA,8.0,1991 TOPPS STADIUM CLUB CHARTER MEMBERS 300TH WIN NOLAN R...,eBay PSA 8,$11-$6-$6,eBay PSA 8 | Model B - Star / High Liquidity | 1 comp
43.7,5.45,49.15,2026-02-11,bin,False,,PSA,9.0,🔥⚾️1991 STADIUM CLUB CHARTER MEMBERS NOLAN RYAN HOF 300th...,eBay PSA 9,$45-$40-$40,eBay PSA 9 | Model B - Star / High Liquidity | 2 comps
35.0,4.95,39.95,2026-02-11,bin,False,,PSA,9.0,1991 Stadium Club Charter Members 300th Win Nolan Ryan Ra...,eBay PSA 9,$45-$40-$40,eBay PSA 9 | Model B - Star / High Liquidity | 2 comps
75.0,5.0,80.0,2026-03-24,auction,False,,PSA,10.0,1991 STADIUM CLUB CHARTER MEMBERS NOLAN RYAN HOF 300th WI...,eBay PSA 10,$80-$40-$40,eBay PSA 10 | Model B - Star / High Liquidity | 1 comp
24.95,5.2,30.15,2026-02-07,bin,False,,SGC,8.5,1991 Stadium Club Charter Members 300th Win Nolan Ryan Ra...,eBay SGC 8.5,$30-$27-$27,eBay SGC 8.5 | Model B - Star / High Liquidity | 1 comp
